page,format,group,name,variant,description,item_code,dimensions,unit,skid_size,price,trade_price,unit_price,splitting_fee,delivery,raw
6,bulk,SOILS F.O.B BARRIE DELIVERED,Screened Topsoil,,,,,Yard,,$144.00,$169.00,,,,Screened Topsoil Yard $144.00 $169.00
6,bulk,SOILS F.O.B BARRIE DELIVERED,Triple Mix,,,,,Yard,,$164.00,$189.00,,,,Triple Mix Yard $164.00 $189.00
6,bulk,SOILS F.O.B BARRIE DELIVERED,Compost,,,,,Yard,,$164.00,$189.00,,,,Compost Yard $164.00 $189.00
6,bulk,AGGREGATES,Limestone Screenings,,,,,Tonne,,$164.00,$189.00,,,,Limestone Screenings Tonne $164.00 $189.00
6,bulk,AGGREGATES,3/4 Clear Stone,,,,,Tonne,,$170.00,$195.00,,,,3/4 Clear Stone Tonne $170.00 $195.00
6,bulk,AGGREGATES,3/4 Crusher Run,,,,,Tonne,,$164.00,$189.00,,,,3/4 Crusher Run Tonne $164.00 $189.00
6,bulk,AGGREGATES,Brick Sand,,,,,Tonne,,$164.00,$189.00,,,,Brick Sand Tonne $164.00 $189.00
6,bulk,AGGREGATES,A-Gravel,,,,,Tonne,,$164.00,$189.00,,,,A-Gravel Tonne $164.00 $189.00
6,bulk,AGGREGATES,HPB,,,,,Tonne,,$174.00,$199.00,,,,HPB Tonne $174.00 $199.00
6,bulk,MULCH,Black Mulch,,,,,Yard,,$184.00,$209.00,,,,Black Mulch Yard $184.00 $209.00
6,bulk,MULCH,Brown Mulch,,,,,Yard,,$154.00,$179.00,,,,Brown Mulch Yard $154.00 $179.00
6,bulk,MULCH,Classic Cedar Mulch,,,,,Yard,,$184.00,$209.00,,,,Classic Cedar Mulch Yard $184.00 $209.00
6,bulk,MULCH,Shredded Pine Mulch,,,,,Yard,,$184.00,$209.00,,,,Shredded Pine Mulch Yard $184.00 $209.00
6,bulk,GRANITE PRODUCTS,Screenings,,,,,Tonne,,$155.00,$180.00,,,,Screenings Tonne $155.00 $180.00
6,bulk,GRANITE PRODUCTS,3/4 Clear Stone,,,,,Tonne,,$155.00,$180.00,,,,3/4 Clear Stone Tonne $155.00 $180.00
6,bulk,GRANITE PRODUCTS,"2"" River Stone",,,,,Tonne,,$224.00,$249.00,,,,"2"" River Stone Tonne $224.00 $249.00"
6,bulk,GRANITE PRODUCTS,"4"" River Stone",,,,,Tonne,,$224.00,$249.00,,,,"4"" River Stone Tonne $224.00 $249.00"
6,bulk,GRANITE PRODUCTS,Pea Stone,,,,,Tonne,,$180.00,$205.00,,,,Pea Stone Tonne $180.00 $205.00
7,paver_slab,Cassara Slabs,Cassara Slabs — Prestige Colours,Prestige Colours,,,,SqFt,,$6.49,,,54¢,30¢,Prestige Colours SqFt $6.49 54¢ 30¢
7,paver_slab,Cassara Slabs,Cassara Slabs — Standard Colours,Standard Colours,,,,SqFt,,$5.78,,,54¢,30¢,Standard Colours SqFt $5.78 54¢ 30¢
7,paver_slab,City,City — Standard Colours,Standard Colours,,,,SqFt,,$11.57,,,54¢,30¢,Standard Colours SqFt $11.57 54¢ 30¢
7,paver_slab,Esbelto Slab,DuraFusion,,,,,SqFt,,$5.89,,,54¢,30¢,DuraFusion SqFt $5.89 54¢ 30¢
7,paver_slab,Esbelto Slab,Prestige,,,,,SqFt,,$5.86,,,54¢,30¢,Prestige SqFt $5.86 54¢ 30¢
7,paver_slab,Mega Melville,Mega Melville — Prestige Colours,Prestige Colours,,,,SqFt,,$6.98,,,54¢,30¢,Prestige Colours SqFt $6.98 54¢ 30¢
7,paver_slab,Mega Melville,Mega Melville — Standard Colours,Standard Colours,,,,SqFt,,$6.26,,,54¢,30¢,Standard Colours SqFt $6.26 54¢ 30¢
7,paver_slab,Melia Durafusion Slabs,Melia Durafusion Slabs — 18 x 36,18 x 36,,,,SqFt,,$6.65,,,54¢,30¢,18 x 36 SqFt $6.65 54¢ 30¢
7,paver_slab,Melia Durafusion Slabs,Melia Durafusion Slabs — Mix,Mix,,,,SqFt,,$5.84,,,54¢,30¢,Mix SqFt $5.84 54¢ 30¢
7,paver_slab,Melville 24x24 Slabs,Melville 24x24 Slabs — Prestige Colours,Prestige Colours,,,,SqFt,,$6.55,,,45¢,30¢,Prestige Colours SqFt $6.55 45¢ 30¢
7,paver_slab,Melville 24x24 Slabs,Melville 24x24 Slabs — Standard Colours,Standard Colours,,,,SqFt,,$6.36,,,45¢,30¢,Standard Colours SqFt $6.36 45¢ 30¢
7,paver_slab,Melville 24x24 Slabs,Melville 24x24 Slabs — Prestige Colours,Prestige Colours,,,,SqFt,,$5.65,,,54¢,30¢,Prestige Colours SqFt $5.65 54¢ 30¢
7,paver_slab,Melville 24x24 Slabs,Melville 24x24 Slabs — Standard Colours,Standard Colours,,,,SqFt,,$5.22,,,54¢,30¢,Standard Colours SqFt $5.22 54¢ 30¢
7,paver_slab,Melville DuraFusion,Melville DuraFusion — 18 x 36,18 x 36,,,,SqFt,,$6.65,,,54¢,30¢,18 x 36 SqFt $6.65 54¢ 30¢
7,paver_slab,Melville DuraFusion,Melville DuraFusion — Combo,Combo,,,,SqFt,,$5.89,,,54¢,30¢,Combo SqFt $5.89 54¢ 30¢
7,paver_slab,Melville DuraFusion,Melville 60 DuraFusion,,,,,SqFt,,$5.89,,,54¢,30¢,Melville 60 DuraFusion SqFt $5.89 54¢ 30¢
7,paver_slab,Melville DuraFusion,Metrik Slab,,,,,SqFt,,$6.04,,,54¢,30¢,Metrik Slab SqFt $6.04 54¢ 30¢
7,paver_slab,Melville DuraFusion,Melville DuraFusion — Prestige Colours,Prestige Colours,,,,SqFt,,$5.65,,,54¢,30¢,Prestige Colours SqFt $5.65 54¢ 30¢
7,paver_slab,and Colour,and Colour — Standard Colours,Standard Colours,,,,SqFt,,$5.22,,,54¢,30¢,Standard Colours SqFt $5.22 54¢ 30¢
7,paver_slab,Rosebel,Rosebel — Prestige Colours,Prestige Colours,,,,SqFt,,$7.40,,,54¢,30¢,Prestige Colours SqFt $7.40 54¢ 30¢
7,paver_slab,Rosebel,Rosebel — Standard Colours,Standard Colours,,,,SqFt,,$6.78,,,54¢,30¢,Standard Colours SqFt $6.78 54¢ 30¢
7,paver_slab,Rosebel,Versailles Slab **,,,,,SqFt,,$31.45,,,N/A,27¢,Versailles Slab ** SqFt $31.45 N/A 27¢
7,paver_slab,Rosebel,Vertex Slab,,,,,SqFt,,$6.62,,,54¢,30¢,Vertex Slab SqFt $6.62 54¢ 30¢
7,paver_slab,Wilfrid Slab,Wilfrid Slab — Prestige Colours,Prestige Colours,,,,SqFt,,$7.12,,,54¢,30¢,Prestige Colours SqFt $7.12 54¢ 30¢
7,paver_slab,Wilfrid Slab,Wilfrid Slab — Standard Colours,Standard Colours,,,,SqFt,,$6.84,,,54¢,30¢,Standard Colours SqFt $6.84 54¢ 30¢
7,paver_slab,Wilfrid Slab,Brooklyn Paver,,,,,SqFt,,$10.98,,,54¢,30¢,Brooklyn Paver SqFt $10.98 54¢ 30¢
7,paver_slab,Capio Paver,Capio Paver — Premium Colours,Premium Colours,,,,SqFt,,$5.12,,,54¢,30¢,Premium Colours SqFt $5.12 54¢ 30¢
7,paver_slab,Capio Paver,Capio Paver — Standard Colours,Standard Colours,,,,SqFt,,$4.12,,,54¢,30¢,Standard Colours SqFt $4.12 54¢ 30¢
7,paver_slab,Cassara,Cassara — Prestige Colours,Prestige Colours,,,,SqFt,,$10.41,,,90¢,49¢,Prestige Colours SqFt $10.41 90¢ 49¢
7,paver_slab,Cassara,Cassara — Standard Colours,Standard Colours,,,,SqFt,,$8.98,,,90¢,49¢,Standard Colours SqFt $8.98 90¢ 49¢
7,paver_slab,Cassara,Cassara Verde,,,,,SqFt,,$6.87,,,90¢,49¢,Cassara Verde SqFt $6.87 90¢ 49¢
7,paver_slab,Cassara,Eko Paver,,,,,SqFt,,$4.71,,,64¢,35¢,Eko Paver SqFt $4.71 64¢ 35¢
7,paver_slab,Cassara,Esbelto Paver DuraFusion,,,,,SqFt,,$7.65,,,73¢,39¢,Esbelto Paver DuraFusion SqFt $7.65 73¢ 39¢
7,paver_slab,Cassara,Kensington,,,,,SqFt,,$4.87,,,73¢,39¢,Kensington SqFt $4.87 73¢ 39¢
7,paver_slab,Cassara,Kensington Smooth,,,,,SqFt,,$4.87,,,73¢,39¢,Kensington Smooth SqFt $4.87 73¢ 39¢
7,paver_slab,Cassara,Laguna Capping,,,,,Piece,,$54.17,,,$1.11,77¢,Laguna Capping Piece $54.17 $1.11 77¢
7,paver_slab,Cassara,Marina,,,,,Piece,,$4.61,,,23¢,17¢,Marina Piece $4.61 23¢ 17¢
7,paver_slab,Mega Melville,Mega Melville — Prestige Colours,Prestige Colours,,,,SqFt,,$9.18,,,73¢,39¢,Prestige Colours SqFt $9.18 73¢ 39¢
7,paver_slab,Mega Melville,Mega Melville — Standard Colours,Standard Colours,,,,SqFt,,$8.58,,,73¢,39¢,Standard Colours SqFt $8.58 73¢ 39¢
7,paver_slab,Mega Melville,Melia Durafusion Paver 6x6,,,,,SqFt,,$6.73,,,73¢,39¢,Melia Durafusion Paver 6x6 SqFt $6.73 73¢ 39¢
8,paver_slab,,Prestige Colours,,,,,SqFt,,$7.51,,,73¢,39¢,Prestige Colours SqFt $7.51 73¢ 39¢
8,paver_slab,,Standard Colours,,,,,SqFt,,$6.91,,,73¢,39¢,Standard Colours SqFt $6.91 73¢ 39¢
8,paver_slab,,Melville 80 DuraFusion,,,,,SqFt,,$7.65,,,73¢,39¢,Melville 80 DuraFusion SqFt $7.65 73¢ 39¢
8,paver_slab,Melville Plank,Melville Plank — Prestige Colours,Prestige Colours,,,,SqFt,,$7.51,,,73¢,39¢,Prestige Colours SqFt $7.51 73¢ 39¢
8,paver_slab,Melville Plank,Melville Plank — Standard Colours,Standard Colours,,,,SqFt,,$7.51,,,73¢,39¢,Standard Colours SqFt $7.51 73¢ 39¢
8,paver_slab,Melville Plank,Melville Plank — Standard Colours,Standard Colours,,,,SqFt,,$6.91,,,73¢,39¢,Standard Colours SqFt $6.91 73¢ 39¢
8,paver_slab,Melville Plank,Niagara - Natural,,,,,SqFt,,$3.13,,,54¢,30¢,Niagara - Natural SqFt $3.13 54¢ 30¢
8,paver_slab,Melville Plank,Trafalgar,,,,,SqFt,,$5.12,,,54¢,30¢,Trafalgar SqFt $5.12 54¢ 30¢
8,paver_slab,Melville Plank,Melville Plank — Prestige Colours,Prestige Colours,,,,SqFt,,$6.24,,,54¢,30¢,Prestige Colours SqFt $6.24 54¢ 30¢
8,paver_slab,Melville Plank,Melville Plank — Standard Colours,Standard Colours,,,,SqFt,,$5.64,,,54¢,30¢,Standard Colours SqFt $5.64 54¢ 30¢
8,paver_slab,Melville Plank,Melville Plank — Prestige Colours,Prestige Colours,,,,SqFt,,$8.23,,,73¢,39¢,Prestige Colours SqFt $8.23 73¢ 39¢
8,paver_slab,Melville Plank,Melville Plank — Standard Colours,Standard Colours,,,,SqFt,,$7.30,,,73¢,39¢,Standard Colours SqFt $7.30 73¢ 39¢
8,paver_slab,Melville Plank,Virage,,,,,SqFt,,$6.42,,,73¢,39¢,Virage SqFt $6.42 73¢ 39¢
8,paver_slab,Melville Plank,Zen,,,,,SqFt,,$7.54,,,73¢,39¢,Zen SqFt $7.54 73¢ 39¢
8,paver_slab,Artex Panel System,Artex Panel System — 18 x 36,18 x 36,,,,Piece,,$42.10,,,$2.32,$1.60,18 x 36 Piece $42.10 $2.32 $1.60
8,paver_slab,Artex Panel System,Artex Panel System — 6 x 36,6 x 36,,,,Piece,,$15.82,,,80¢,55¢,6 x 36 Piece $15.82 80¢ 55¢
8,paver_slab,Artex Panel System,Anchor Slide,,,,,Piece,,$2.48,,,N/A,05¢,Anchor Slide Piece $2.48 N/A 05¢
8,paver_slab,Artex Panel System,Inner Corner,,,,,Piece,,$13.32,,,N/A,05¢,Inner Corner Piece $13.32 N/A 05¢
8,paver_slab,Artex Panel System,Jointing Plate,,,,,Piece,,$8.52,,,N/A,05¢,Jointing Plate Piece $8.52 N/A 05¢
8,paver_slab,and Colour,Outer Corner,,,,,Piece,,$10.03,,,N/A,05¢,Outer Corner Piece $10.03 N/A 05¢
8,paver_slab,and Colour,Stretcher Bar,,,,,Piece,,$18.91,,,N/A,05¢,Stretcher Bar Piece $18.91 N/A 05¢
8,paver_slab,GRANDE Wall,GRANDE Wall — Coping - Colours,Coping - Colours,,,,Piece,,$57.57,,,$5.97,$4.11,Coping - Colours Piece $57.57 $5.97 $4.11
8,paver_slab,GRANDE Wall,GRANDE Wall — Step Unit - Colours,Step Unit - Colours,,,,Piece,,$52.33,,,$6.06,$4.17,Step Unit - Colours Piece $52.33 $6.06 $4.17
8,paver_slab,GRANDE Wall Smooth Face,375-Newport,,,,,Piece,,$45.28,,,$5.54,$3.82,375-Newport Piece $45.28 $5.54 $3.82
8,paver_slab,GRANDE Wall Split or Smooth Face,1125,,,,,Piece,,$123.77,,,$16.63,$11.44,1125 Piece $123.77 $16.63 $11.44
8,paver_slab,GRANDE Wall Split or Smooth Face,375,,,,,Piece,,$41.25,,,$5.54,$3.82,375 Piece $41.25 $5.54 $3.82
8,paver_slab,GRANDE Wall Split or Smooth Face,750,,,,,Piece,,$82.54,,,$11.11,$7.64,750 Piece $82.54 $11.11 $7.64
8,paver_slab,GRANDE Wall Split or Smooth Face,Coping - Natural,,,,,Piece,,$51.42,,,$5.97,$4.11,Coping - Natural Piece $51.42 $5.97 $4.11
8,paver_slab,GRANDE Wall Split or Smooth Face,Corner,,,,,Piece,,$63.97,,,$7.35,$5.05,Corner Piece $63.97 $7.35 $5.05
8,paver_slab,GRANDE Wall Split or Smooth Face,Step Unit - Natural,,,,,Piece,,$45.87,,,$6.06,$4.17,Step Unit - Natural Piece $45.87 $6.06 $4.17
8,paver_slab,Grande Wedge,Coping,,,,,Piece,,$7.81,,,73¢,50¢,Coping Piece $7.81 73¢ 50¢
8,paver_slab,Grande Wedge,Standard,,,,,Piece,,$13.56,,,$1.28,87¢,Standard Piece $13.56 $1.28 87¢
8,paver_slab,Lafitt Tandem Wall,Plus Step Unit,,,,,Piece,,$18.70,,,$1.23,84¢,Plus Step Unit Piece $18.70 $1.23 84¢
8,paver_slab,Lafitt Tandem Wall,Step Unit,,,,,Piece,,$18.70,,,$1.21,84¢,Step Unit Piece $18.70 $1.21 84¢
8,paver_slab,Lafitt Tandem Wall,Straight Cap,,,,,Piece,,$16.68,,,92¢,64¢,Straight Cap Piece $16.68 92¢ 64¢
8,paver_slab,Leno Capping,Bullnose,,,,,Piece,,$20.31,,,88¢,61¢,Bullnose Piece $20.31 88¢ 61¢
8,paver_slab,Leno Capping,Lafitt,,,,,Piece,,$20.31,,,88¢,61¢,Lafitt Piece $20.31 88¢ 61¢
8,paver_slab,Leno Capping,Straight,,,,,Piece,,$20.31,,,88¢,61¢,Straight Piece $20.31 88¢ 61¢
9,paver_slab,Melville Tandem Wall,Plus Straight Cap 60,,,,,Piece,,$15.47,,,88¢,61¢,Plus Straight Cap 60 Piece $15.47 88¢ 61¢
9,paver_slab,Melville Tandem Wall,Plus Straight Cap 90,,,,,Piece,,$20.97,,,$1.73,$1.18,Plus Straight Cap 90 Piece $20.97 $1.73 $1.18
9,paver_slab,Melville Tandem Wall,Step Unit 60mm,,,,,Piece,,$20.06,,,$1.16,80¢,Step Unit 60mm Piece $20.06 $1.16 80¢
9,paver_slab,Melville Tandem Wall,Step Unit 90mm,,,,,Piece,,$27.19,,,$1.73,$1.18,Step Unit 90mm Piece $27.19 $1.73 $1.18
9,paver_slab,Melville Tandem Wall,Orion Firepit,,,,,Each,,$659.97,,,N/A,$8.47,Orion Firepit Each $659.97 N/A $8.47
9,paver_slab,RB Wall,RB Wall — Coping - Colours,Coping - Colours,,,,Piece,,$11.12,,,$1.01,70¢,Coping - Colours Piece $11.12 $1.01 70¢
9,paver_slab,RB Wall,Coping - Natural,,,,,Piece,,$10.55,,,$1.01,70¢,Coping - Natural Piece $10.55 $1.01 70¢
9,paver_slab,RB Wall,RB Wall — Corner - Colours,Corner - Colours,,,,Piece,,$11.84,,,72¢,50¢,Corner - Colours Piece $11.84 72¢ 50¢
9,paver_slab,RB Wall,Corner - Natural,,,,,Piece,,$10.58,,,72¢,50¢,Corner - Natural Piece $10.58 72¢ 50¢
9,paver_slab,RB Wall,RB Wall — Standard - Colours,Standard - Colours,,,,Piece,,$5.25,,,69¢,48¢,Standard - Colours Piece $5.25 69¢ 48¢
9,paver_slab,RB Wall,Standard - Natural,,,,,Piece,,$4.79,,,69¢,48¢,Standard - Natural Piece $4.79 69¢ 48¢
9,paver_slab,Tandem Wall Acessories,Connector - Corner,,,,,Bag,,$65.55,,,N/A,11¢,Connector - Corner Bag $65.55 N/A 11¢
9,paver_slab,Tandem Wall Acessories,Connector - Double-sided,,,,,Bag,,$65.55,,,N/A,11¢,Connector - Double-sided Bag $65.55 N/A 11¢
9,paver_slab,Tandem Wall Acessories,Grid Kit,,,,,Piece,,$72.66,,,N/A,24¢,Grid Kit Piece $72.66 N/A 24¢
9,paver_slab,Tandem Wall Acessories,Pillar Grid,,,,,Piece,,$248.88,,,N/A,53¢,Pillar Grid Piece $248.88 N/A 53¢
9,paver_slab,Tandem Wall Acessories,Spark Arrestor,,,,,Each,,$177.41,,,N/A,24¢,Spark Arrestor Each $177.41 N/A 24¢
9,paver_slab,Tandem Wall Acessories,Starter Unit,,,,,Piece,,$5.77,,,81¢,55¢,Starter Unit Piece $5.77 81¢ 55¢
9,paver_slab,Wallstone,12 inch Coping - Colour,,,,,Piece,,$3.90,,,45¢,31¢,12 inch Coping - Colour Piece $3.90 45¢ 31¢
9,paver_slab,Wallstone,Corner - Colour,,,,,Piece,,$6.13,,,45¢,31¢,Corner - Colour Piece $6.13 45¢ 31¢
9,paver_slab,Wallstone,Standard - Colour,,,,,Piece,,$4.05,,,46¢,31¢,Standard - Colour Piece $4.05 46¢ 31¢
9,paver_slab,Wedgestone,Standard & Coping,,,,,Piece,,$3.05,,,29¢,20¢,Standard & Coping Piece $3.05 29¢ 20¢
9,paver_slab,Porcelain Tiles,Mirage Noon,,,,,SqFt,,$22.26,,,N/A,11¢,Mirage Noon SqFt $22.26 N/A 11¢
9,paver_slab,Porcelain Tiles,Mirage November,,,,,SqFt,,$8.16,,,17¢,,Mirage November SqFt $8.16 17¢
9,paver_slab,Porcelain Tiles,Large Rectangle,,,,,SqFt,,$19.43,,,N/A,11¢,Large Rectangle SqFt $19.43 N/A 11¢
9,paver_slab,Porcelain Tiles,Large Square,,,,,SqFt,,$14.98,,,N/A,17¢,Large Square SqFt $14.98 N/A 17¢
9,paver_slab,Porcelain Tiles,Pool Coping,,,,,Piece,,$85.45,,,N/A,11¢,Pool Coping Piece $85.45 N/A 11¢
10,paver_slab,Pavers Sold Bundle ISplittingl,Bonaire,,,,,SqFt,,$6.88,,,54¢,30¢,Bonaire SqFt $6.88 54¢ 30¢
10,paver_slab,Cassina,12in Dover,,,,,Each,,$7.13,,,34¢,25¢,12in Dover Each $7.13 34¢ 25¢
10,paver_slab,Cassina,12in Onyx,,,,,Each,,$7.39,,,34¢,25¢,12in Onyx Each $7.39 34¢ 25¢
10,paver_slab,Cassina,8 in Dover-Limited Availability,,,,,Each,,34¢,,,25¢,,8 in Dover-Limited Availability Each 34¢ 25¢
10,paver_slab,Cassina,Colonnade,,,,,SqFt,,$5.09,,,54¢,30¢,Colonnade SqFt $5.09 54¢ 30¢
10,paver_slab,Cassina,Eterna,,,,,SqFt,,$8.98,,,90¢,49¢,Eterna SqFt $8.98 90¢ 49¢
10,paver_slab,Cassina,Everton,,,,,SqFt,,$3.90,,,54¢,30¢,Everton SqFt $3.90 54¢ 30¢
10,paver_slab,Cassina,Hydr'Eau Pave-Custom Order,,,,,SqFt,,73¢,,,39¢,,Hydr'Eau Pave-Custom Order SqFt 73¢ 39¢
10,paver_slab,Market Paver,60mm,,,,,SqFt,,$5.48,,,64¢,32¢,60mm SqFt $5.48 64¢ 32¢
10,paver_slab,Market Paver,80mm,,,,,SqFt,,$7.12,,,73¢,39¢,80mm SqFt $7.12 73¢ 39¢
10,paver_slab,Molina,60mm,,,,,SqFt,,$6.09,,,54¢,30¢,60mm SqFt $6.09 54¢ 30¢
10,paver_slab,Molina,60mm -24x24,,,,,SqFt,,$7.21,,,54¢,30¢,60mm -24x24 SqFt $7.21 54¢ 30¢
10,paver_slab,Molina,60mm -Ferro Finish,,,,,SqFt,,$7.86,,,54¢,30¢,60mm -Ferro Finish SqFt $7.86 54¢ 30¢
10,paver_slab,Molina,80mm,,,,,SqFt,,$7.46,,,73¢,39¢,80mm SqFt $7.46 73¢ 39¢
10,paver_slab,Molina,80mm -Ferro Finish,,,,,SqFt,,$9.78,,,73¢,39¢,80mm -Ferro Finish SqFt $9.78 73¢ 39¢
